site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
BLW,https://cdli.mpiwg-berlin.mpg.de/proveniences/275,3,Imgur-Enlil,Balāwāt,بلاوات,,,,,,,,https://pleiades.stoa.org/places/90032637,https://www.openstreetmap.org/node/5274858241,,https://en.wikipedia.org/wiki/Balawat,https://ar.wikipedia.org/wiki/بلاوات,,,,,http://publikationen.badw.de/de/rla/index#5746,https://wikidata.org/wiki/Q1659846,43.4033,36.2294
BMB,https://cdli.mpiwg-berlin.mpg.de/proveniences/701,2,,Bambakajat,,Բամբակաշատ,,,,,,uncertain (mod. Bambakajat),https://pleiades.stoa.org/places/553137329,https://www.openstreetmap.org/way/785291049,https://www.geonames.org/616823,https://en.wikipedia.org/wiki/Bambakashat,,,,,,,,44.0183,40.1029
BOR,https://cdli.mpiwg-berlin.mpg.de/proveniences/83,3,Borsippa,Birs Nimrūd,برس نمرود,,,,,,,,https://pleiades.stoa.org/places/893964,,https://www.geonames.org/448143,https://en.wikipedia.org/wiki/Borsippa,https://ar.wikipedia.org/wiki/بورسيبا,,,,,,,44.3434,32.3924
BOS,https://cdli.mpiwg-berlin.mpg.de/proveniences/702,2,,Bostankaya,,,,,,,,uncertain (mod. Bostankaya),https://pleiades.stoa.org/places/124319309,https://www.openstreetmap.org/node/2283852309,https://www.geonames.org/320821,,,,,,,,,42.6557,39.2028
BRD,https://cdli.mpiwg-berlin.mpg.de/proveniences/431,3,,Tall Baradān,تل بردان,,,,,,,,https://pleiades.stoa.org/places/894127,,,,,,,,,,,45.0512,34.191
BRK,https://cdli.mpiwg-berlin.mpg.de/proveniences/217,3,Nagar,Tall Brāk,تل براك,,,,,,,,https://pleiades.stoa.org/places/874735,https://www.openstreetmap.org/way/232286478,https://www.geonames.org/171437,https://en.wikipedia.org/wiki/Tell_Brak,https://ar.wikipedia.org/wiki/تل_براك,,,,,,https://wikidata.org/wiki/Q978443,41.0584,36.667
BRM,https://cdli.mpiwg-berlin.mpg.de/proveniences/703,2,,Burmageçit,,,,,,,,,https://pleiades.stoa.org/places/124319310,,,,,,,,,,,39.5429,38.9714
BRS,https://cdli.mpiwg-berlin.mpg.de/proveniences/408,1,,Brīṣā,بريصا,,,,,,,,https://pleiades.stoa.org/places/809004346,,,,,,,,,,,36.3117,34.4309
BSE,https://cdli.mpiwg-berlin.mpg.de/proveniences/704,3,,Tel Bet Shemesh,,,,,,תל בית שמש,,uncertain (mod. Tel Bet Shemesh),https://pleiades.stoa.org/places/432223402,https://www.openstreetmap.org/way/497106485,https://www.geonames.org/293386,https://en.wikipedia.org/wiki/Tel_Beit_Shemesh,,,,https://he.wikipedia.org/wiki/תל_בית_שמש,,,https://wikidata.org/wiki/Q12412084,34.9748,31.7506
BSH,https://cdli.mpiwg-berlin.mpg.de/proveniences/111,1,,Ben Shemen,,,,,,בן שמן,,,https://pleiades.stoa.org/places/413309736,,,,,,,,,,,34.9206,31.9535
BSK,https://cdli.mpiwg-berlin.mpg.de/proveniences/705,0,,Başkale,,,,,,,,uncertain (mod. Başkale),https://pleiades.stoa.org/places/705365883,,,,,,,,,,,,
BSM,https://cdli.mpiwg-berlin.mpg.de/proveniences/706,2,,Tulūl Bismāyah,تلول بسماية,,,,,,,uncertain (mod. Tulūl Bismāyah),https://pleiades.stoa.org/places/878261411,,,,,,,,,,,44.6094,33.203
BST,https://cdli.mpiwg-berlin.mpg.de/proveniences/707,3,,Qa`la Bast,,,قلعه بسټ,,,,,uncertain (mod. Qa`la Bast),https://pleiades.stoa.org/places/310634609,,https://www.geonames.org/1425376,,,,,,,,https://wikidata.org/wiki/Q20182301,64.3566,31.5081
BSV,https://cdli.mpiwg-berlin.mpg.de/proveniences/708,3,,Tel Be'er Sheva,,,,,,תל באר שבע,,uncertain (mod. Tel Be'er Sheva),https://pleiades.stoa.org/places/687846,https://www.openstreetmap.org/way/96320718,https://www.geonames.org/293389,https://en.wikipedia.org/wiki/Tel_Be%27er_Sheva,,,,https://he.wikipedia.org/wiki/תל_באר_שבע,,,https://wikidata.org/wiki/Q534596,34.8406,31.2449
